company_id,NAME OF COMPANY,company_code,Exchange,Marker
1,20 Microns Limited,20MICRONS,NSE,EQ
2,21st Century Management Services Limited,21STCENMGM,NSE,BE
3,360 ONE WAM LIMITED,360ONE,NSE,EQ
4,3i Infotech Limited,3IINFOLTD,NSE,EQ
5,3M India Limited,3MINDIA,NSE,EQ
6,3P Land Holdings Limited,3PLAND,NSE,BE
7,5Paisa Capital Limited,5PAISA,NSE,EQ
8,63 moons technologies limited,63MOONS,NSE,EQ
9,A2Z Infra Engineering Limited,A2ZINFRA,NSE,BE
10,AAA Technologies Limited,AAATECH,NSE,EQ
11,Aadhar Housing Finance Limited,AADHARHFC,NSE,EQ
12,Aakash Exploration Services Limited,AAKASH,NSE,EQ
13,Aarey Drugs & Pharmaceuticals Limited,AAREYDRUGS,NSE,EQ
14,Aaron Industries Limited,AARON,NSE,EQ
15,Aartech Solonics Limited,AARTECH,NSE,BE
16,Aarti Drugs Limited,AARTIDRUGS,NSE,EQ
17,Aarti Industries Limited,AARTIIND,NSE,EQ
18,Aarti Pharmalabs Limited,AARTIPHARM,NSE,EQ
19,Aarti Surfactants Limited,AARTISURF,NSE,EQ
20,Aarvee Denims & Exports Limited,AARVEEDEN,NSE,BE
21,Aarvi Encon Limited,AARVI,NSE,EQ
22,Aavas Financiers Limited,AAVAS,NSE,EQ
23,Aban Offshore Limited,ABAN,NSE,BE
24,ABB India Limited,ABB,NSE,EQ
25,Abbott India Limited,ABBOTINDIA,NSE,EQ
26,Aditya Birla Capital Limited,ABCAPITAL,NSE,EQ
27,Allied Blenders and Distillers Limited,ABDL,NSE,EQ
28,Aditya Birla Fashion and Retail Limited,ABFRL,NSE,EQ
29,A B Infrabuild Limited,ABINFRA,NSE,EQ
30,ABM International Limited,ABMINTLLTD,NSE,EQ
31,Aditya Birla Real Estate Limited,ABREL,NSE,EQ
32,Aditya Birla Sun Life AMC Limited,ABSLAMC,NSE,EQ
33,ACC Limited,ACC,NSE,EQ
34,Accelya Solutions India Limited,ACCELYA,NSE,EQ
35,Accuracy Shipping Limited,ACCURACY,NSE,EQ
36,Action Construction Equipment Limited,ACE,NSE,EQ
37,Ace Integrated Solutions Limited,ACEINTEG,NSE,EQ
38,Archean Chemical Industries Limited,ACI,NSE,EQ
39,Andhra Cements Limited,ACL,NSE,EQ
40,Allcargo Gati Limited,ACLGATI,NSE,EQ
41,Acme Solar Holdings Limited,ACMESOLAR,NSE,EQ
42,Adani Energy Solutions Limited,ADANIENSOL,NSE,EQ
43,Adani Enterprises Limited,ADANIENT,NSE,EQ
44,Adani Green Energy Limited,ADANIGREEN,NSE,EQ
45,Adani Ports and Special Economic Zone Limited,ADANIPORTS,NSE,EQ
46,Adani Power Limited,ADANIPOWER,NSE,EQ
47,ADF Foods Limited,ADFFOODS,NSE,EQ
48,Archidply Decor Limited,ADL,NSE,EQ
49,Ador Welding Limited,ADORWELD,NSE,EQ
50,Adroit Infotech Limited,ADROITINFO,NSE,EQ
51,Allied Digital Services Limited,ADSL,NSE,EQ
52,Advani Hotels & Resorts (India) Limited,ADVANIHOTR,NSE,EQ
53,Advanced Enzyme Technologies Limited,ADVENZYMES,NSE,EQ
54,Aegis Logistics Limited,AEGISLOG,NSE,EQ
55,Aeroflex Industries Limited,AEROFLEX,NSE,EQ
56,Aether Industries Limited,AETHER,NSE,EQ
57,Afcons Infrastructure Limited,AFCONS,NSE,EQ
58,Affle (India) Limited,AFFLE,NSE,EQ
59,Affordable Robotic & Automation Limited,AFFORDABLE,NSE,EQ
60,Akme Fintrade (India) Limited,AFIL,NSE,EQ
61,Agarwal Industrial Corporation Limited,AGARIND,NSE,EQ
62,Dr. Agarwal's Health Care Limited,AGARWALEYE,NSE,EQ
63,AGI Greenpac Limited,AGI,NSE,EQ
64,Agi Infra Limited,AGIIL,NSE,EQ
65,Agri-Tech (India) Limited,AGRITECH,NSE,EQ
66,Agro Phos India Limited,AGROPHOS,NSE,EQ
67,AGS Transact Technologies Limited,AGSTRA,NSE,BE
68,Abans Holdings Limited,AHL,NSE,BE
69,Ahlada Engineers Limited,AHLADA,NSE,EQ
70,Asian Hotels (East) Limited,AHLEAST,NSE,EQ
71,Ahluwalia Contracts (India) Limited,AHLUCONT,NSE,EQ
72,AIA Engineering Limited,AIAENG,NSE,EQ
73,Authum Investment & Infrastructure Limited,AIIL,NSE,EQ
74,Airan Limited,AIRAN,NSE,EQ
75,Airo Lam limited,AIROLAM,NSE,EQ
76,Ajanta Pharma Limited,AJANTPHARM,NSE,EQ
77,Ajax Engineering Limited,AJAXENGG,NSE,EQ
78,Ajmera Realty & Infra India Limited,AJMERA,NSE,EQ
79,Ajooni Biotech Limited,AJOONI,NSE,EQ
80,Akash Infra-Projects Limited,AKASH,NSE,EQ
81,Akg Exim Limited,AKG,NSE,EQ
82,AKI India Limited,AKI,NSE,BE
83,Akshar Spintex Limited,AKSHAR,NSE,BE
84,AksharChem India Limited,AKSHARCHEM,NSE,EQ
85,Aksh Optifibre Limited,AKSHOPTFBR,NSE,BE
86,Akums Drugs and Pharmaceuticals Limited,AKUMS,NSE,EQ
87,Akzo Nobel India Limited,AKZOINDIA,NSE,EQ
88,Alankit Limited,ALANKIT,NSE,EQ
89,Albert David Limited,ALBERTDAVD,NSE,EQ
90,Alembic Limited,ALEMBICLTD,NSE,EQ
91,Alicon Castalloy Limited,ALICON,NSE,EQ
92,Alivus Life Sciences Limited,ALIVUS,NSE,EQ
93,Alkali Metals Limited,ALKALI,NSE,EQ
94,Alkem Laboratories Limited,ALKEM,NSE,EQ
95,Alkyl Amines Chemicals Limited,ALKYLAMINE,NSE,EQ
96,Allcargo Logistics Limited,ALLCARGO,NSE,EQ
97,Alldigi Tech Limited,ALLDIGI,NSE,EQ
98,Almondz Global Securities Limited,ALMONDZ,NSE,EQ
99,Alok Industries Limited,ALOKINDS,NSE,EQ
100,Alpa Laboratories Limited,ALPA,NSE,EQ
101,Alphageo (India) Limited,ALPHAGEO,NSE,BE
102,Alps Industries Limited,ALPSINDUS,NSE,BE
103,Amber Enterprises India Limited,AMBER,NSE,EQ
104,Ambica Agarbathies & Aroma industries Limited,AMBICAAGAR,NSE,EQ
105,Ambika Cotton Mills Limited,AMBIKCO,NSE,EQ
106,Ambuja Cements Limited,AMBUJACEM,NSE,EQ
107,AMD Industries Limited,AMDIND,NSE,EQ
108,Ami Organics Limited,AMIORG,NSE,EQ
109,Amj Land Holdings Limited,AMJLAND,NSE,EQ
110,Amines & Plasticizers Limited,AMNPLST,NSE,EQ
111,Amrutanjan Health Care Limited,AMRUTANJAN,NSE,EQ
112,Anand Rathi Wealth Limited,ANANDRATHI,NSE,EQ
113,Anant Raj Limited,ANANTRAJ,NSE,EQ
114,ANDHRA PAPER LIMITED,ANDHRAPAP,NSE,EQ
115,The Andhra Sugars Limited,ANDHRSUGAR,NSE,EQ
116,Angel One Limited,ANGELONE,NSE,EQ
117,Anik Industries Limited,ANIKINDS,NSE,EQ
118,Ankit Metal & Power Limited,ANKITMETAL,NSE,BZ
119,Anmol India Limited,ANMOL,NSE,EQ
120,Ansal Properties & Infrastructure Limited,ANSALAPI,NSE,BZ
121,Antarctica Limited,ANTGRAPHIC,NSE,EQ
122,Anuh Pharma Limited,ANUHPHR,NSE,EQ
123,The Anup Engineering Limited,ANUP,NSE,EQ
124,Anupam Rasayan India Limited,ANURAS,NSE,EQ
125,Apar Industries Limited,APARINDS,NSE,EQ
126,Anjani Portland Cement Limited,APCL,NSE,EQ
127,Apcotex Industries Limited,APCOTEXIND,NSE,EQ
128,Apex Frozen Foods Limited,APEX,NSE,EQ
129,APL Apollo Tubes Limited,APLAPOLLO,NSE,EQ
130,Alembic Pharmaceuticals Limited,APLLTD,NSE,EQ
131,Apollo Micro Systems Limited,APOLLO,NSE,EQ
132,Apollo Hospitals Enterprise Limited,APOLLOHOSP,NSE,EQ
133,Apollo Pipes Limited,APOLLOPIPE,NSE,EQ
134,Apollo Tyres Limited,APOLLOTYRE,NSE,EQ
135,Apollo Sindoori Hotels Limited,APOLSINHOT,NSE,EQ
136,Aptech Limited,APTECHT,NSE,EQ
137,Aptus Value Housing Finance India Limited,APTUS,NSE,EQ
138,Archidply Industries Limited,ARCHIDPLY,NSE,EQ
139,Archies Limited,ARCHIES,NSE,EQ
140,Amara Raja Energy & Mobility Limited,ARE&M,NSE,EQ
141,Rajdarshan Industries Limited,ARENTERP,NSE,EQ
142,Aries Agro Limited,ARIES,NSE,BE
